lp,Data,Pora roku,Kwartał,Miesiąc,Tydzień,Dzień tygodnia,Dzień miesiąca,Pora zaśnięcia,Godzina zaśnięcia,Minuty zaśnięcia,Pora wybudzenia,Godzina wybudzenia,Minuty wybudzenia,Różnica,h różnica,min różnica,Różnica (minuty),Liczba wybudzeń,Liczba drzemek,Drzemki (minuty),Długość snu ogółem (podstawa + drzemki),DS ogółem (h),DS ogółem (minuty),DS ogółem (łącznie w min),minuty w łóżku gdy nie spałem,czy zasnąłem po północy?
14,2024-01-14,1,1,1,3,1,14,00:32,0,32,09:27,9,27,08:55,8,55,535,2,0,0,08:03:00,8,3,483,52,TRUE
15,2024-01-15,1,1,1,3,2,15,00:34,0,34,08:33,8,33,07:59,7,59,479,4,0,0,07:42:00,7,42,462,17,TRUE
16,2024-01-16,1,1,1,3,3,16,03:02,3,2,08:49,8,49,05:47,5,47,347,3,0,0,05:33:00,5,33,333,14,TRUE
17,2024-01-17,1,1,1,3,4,17,23:09,23,9,06:50,6,50,07:41,7,41,461,4,0,0,07:31:00,7,31,451,10,FALSE
18,2024-01-18,1,1,1,3,5,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,2024-01-19,1,1,1,3,6,19,01:35,1,35,07:37,7,37,06:02,6,2,362,2,0,0,05:56:00,5,56,356,6,TRUE
20,2024-01-20,1,1,1,3,7,20,01:28,1,28,08:51,8,51,07:23,7,23,443,4,0,0,07:03:00,7,3,423,20,TRUE
21,2024-01-21,1,1,1,4,1,21,00:08,0,8,09:56,9,56,09:48,9,48,588,0,0,0,09:48:00,9,48,588,0,TRUE
22,2024-01-22,1,1,1,4,2,22,23:20,23,20,07:50,7,50,08:30,8,30,510,2,0,0,08:09:00,8,9,489,21,FALSE
23,2024-01-23,1,1,1,4,3,23,00:28,0,28,08:19,8,19,07:51,7,51,471,6,0,0,07:35:00,7,35,455,16,TRUE
24,2024-01-24,1,1,1,4,4,24,23:24,23,24,06:50,6,50,07:26,7,26,446,2,0,0,07:20:00,7,20,440,6,FALSE
25,2024-01-25,1,1,1,4,5,25,23:13,23,13,05:37,5,37,06:24,6,24,384,3,0,0,06:17:00,6,17,377,7,FALSE
26,2024-01-26,1,1,1,4,6,26,00:51,0,51,08:00,8,0,07:09,7,9,429,1,0,0,05:40:00,5,40,340,89,TRUE
27,2024-01-27,1,1,1,4,7,27,23:28,23,28,08:21,8,21,08:53,8,53,533,3,0,0,08:41:00,8,41,521,12,FALSE
28,2024-01-28,1,1,1,5,1,28,01:40,1,40,07:49,7,49,06:09,6,9,369,1,0,0,06:07:00,6,7,367,2,TRUE
29,2024-01-29,1,1,1,5,2,29,00:32,0,32,07:40,7,40,07:08,7,8,428,0,0,0,07:08:00,7,8,428,0,TRUE
30,2024-01-30,1,1,1,5,3,30,23:59,23,59,08:43,8,43,08:44,8,44,524,2,0,0,07:03:00,7,3,423,101,FALSE
31,2024-01-31,1,1,1,5,4,31,00:13,0,13,08:38,8,38,08:25,8,25,505,4,0,0,08:12:00,8,12,492,13,TRUE
32,2024-02-01,1,1,2,5,5,1,00:21,0,21,07:38,7,38,07:17,7,17,437,4,0,0,07:04:00,7,4,424,13,TRUE
33,2024-02-02,1,1,2,5,6,2,23:28,23,28,07:45,7,45,08:17,8,17,497,1,0,0,08:13:00,8,13,493,4,FALSE
34,2024-02-03,1,1,2,5,7,3,00:50,0,50,08:28,8,28,07:38,7,38,458,3,0,0,07:31:00,7,31,451,7,TRUE
35,2024-02-04,1,1,2,6,1,4,01:13,1,13,09:06,9,6,07:53,7,53,473,2,0,0,07:48:00,7,48,468,5,TRUE
36,2024-02-05,1,1,2,6,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,2024-02-06,1,1,2,6,3,6,23:37,23,37,06:28,6,28,06:51,6,51,411,2,0,0,06:47:00,6,47,407,4,FALSE
38,2024-02-07,1,1,2,6,4,7,01:23,1,23,06:53,6,53,05:30,5,30,330,2,0,0,05:25:00,5,25,325,5,TRUE
39,2024-02-08,1,1,2,6,5,8,23:56,23,56,08:09,8,9,08:13,8,13,493,5,0,0,07:59:00,7,59,479,14,FALSE
40,2024-02-09,1,1,2,6,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,2024-02-10,1,1,2,6,7,10,23:57,23,57,09:56,9,56,09:59,9,59,599,5,0,0,09:49:00,9,49,589,10,FALSE
